"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Sep 30 13:41:18 CST 2021","Thu Sep 30 13:41:18 CST 2021","0","testcases.Pytest","test_Jpress","TestUser","","","test_user_login_Error[test-123456-用户名不正确。]","登录平台-错误场景"
"broken","Thu Sep 30 13:41:18 CST 2021","Thu Sep 30 13:41:18 CST 2021","0","testcases.Pytest","test_Jpress","TestUser","","","test_user_login_Error[admin--密码不能为空]","登录平台-错误场景"
"broken","Thu Sep 30 13:41:18 CST 2021","Thu Sep 30 13:41:18 CST 2021","0","testcases.Pytest","test_Jpress","TestUser","","","test_user_login_Error[admin-654321-用户名或密码不正确]","登录平台-错误场景"
"broken","Thu Sep 30 13:41:18 CST 2021","Thu Sep 30 13:41:18 CST 2021","0","testcases.Pytest","test_Jpress","TestUser","","","后台管理平台登录失败","记录失败时的截图和日志"
"broken","Thu Sep 30 13:36:15 CST 2021","Thu Sep 30 13:36:15 CST 2021","0","testcases.Pytest","test_Jpress","TestUser","","","test_user_login_Error[-654321-账号不能为空]","登录平台-错误场景"
"skipped","Thu Sep 30 13:41:18 CST 2021","Thu Sep 30 13:41:18 CST 2021","0","testcases.Pytest","test_Jpress","TestBlog","","","查看博客详情",""
"broken","Thu Sep 30 13:41:18 CST 2021","Thu Sep 30 13:41:18 CST 2021","0","testcases.Pytest","test_Jpress","TestUser","","","查看文章详情",""
"broken","Thu Sep 30 13:41:18 CST 2021","Thu Sep 30 13:41:18 CST 2021","0","testcases.Pytest","test_Jpress","TestUser","","","查看文章列表",""
"broken","Thu Sep 30 13:41:18 CST 2021","Thu Sep 30 13:41:18 CST 2021","0","testcases.Pytest","test_Jpress","TestUser","","","test_user_login_OK[admin-123456-用户中心]","成功登录至平台"
